abide   v.遵守
about   prep.关于，大约
above   prep.在...之上，高于
abuse   v.滥用，谩骂，虐待
actor   n.男演员
acute   adj.剧烈的，敏锐的
adapt   v.使适应，改编
admit   v.承认，接纳
adopt   v.采用，采纳
adore   v.崇拜，敬慕
adorn   v.装饰，佩带
adult   n.成年人；adj.成年的
after   prep.在...后
again   adv.再，又
agent   n.代理人，试剂
agony   n.苦恼，痛苦
agree   v.同意，一致认为
ahead   adv.在...前
aisle   n.过道，走廊
alarm   n.惊慌，警报
album   n.相册，地图册
alert   adj.警惕的，灵活的
alien   adj.异国的，异样的
alike   adj.相象的
alive   adj.活着的，有生命的
allot   v.分配，配给
allow   v.允许，许可
alloy   n.合金
alone   adj.单独的，仅仅
along   prep.沿着；adv.一起
aloud   adv.大声地
alter   v.改变，变动
amaze   v.使惊叹
amend   v.修改，更正
among   prep.在...之中
ample   adj.宽大的，充裕的
amuse   v.逗乐，给娱乐
angel   n.天命，安琪儿
anger   n.生气，愤怒
angle   n.角，角度
angry   adj.生气的，愤怒的
ankle   n.踝，踝骨
annex   n.附录，附件
annoy   v.烦扰，使生气
apart   adv.分离，隔开
apple   n.苹果
apply   v.应用，申请
april   n.四月
arena   n.竞技场
argue   v.争论，辩论
arise   v.起来，出现
array   v.装扮，排列
arrow   n.箭，箭头
asean   n.(缩)东盟
asian   adj.亚洲的；n.亚洲人
aside   adv.在旁边，搁在一边
attic   n.阁楼
aural   adj.听觉的，耳的
avail   v.帮助，有用；n.效用
avoid   v.避免，逃避
await   v.等候，等待
awake   v.醒来,醒悟；adj.醒的
award   v.授予；n.奖，奖品
aware   adj.知道的，意识到的
awful   adj.令人畏惧的
axial   adj.轴的，轴向的
bacon   n.咸肉，熏肉
badge   n.徽章
badly   adv.坏，非常，严重地
baggy   adj.袋状的
baker   n.面包师
barge   n.驳船
baron   n.男爵
bases    n.基础，基地；v.基于
basic   adj.基本的，基础的
basin   n.盆，盆地
basis   n.基础，根据
bathe   v.洗澡，冲洗
beach   n.海滩，湖滨
beast   n.野兽，牲畜
begin   v.开始，着手进行
being   n.生物，存在
belly   n.肚子
below   adj.,prep.在...下面
bench   n.长凳，工作台
berry   n.浆果
bible   n.圣经
birth   n.出生，创始
bitch   n.母狗
black   adj.黑的；n.黑色
blade   n.刀刃，叶片
blame   v.责备；n.过失
blank   adj.空白的；n.空格
blast   n.阵风；v.爆炸
blaze   n.火光，光亮
bleed   v.出血，流血
blend   v.混合，掺混
bless   v.保佑，祝福
blind   adj.瞎的；v.使失明
blink   adj.眨眼，闪烁
block   n.大块，街区，障碍物
blond   adj.金发的
blood   n.血，血统
bloom   n.花；v.开花
blunt   adj.钝的，生硬的
blush   v.脸红，害臊
board   n.木板，伙食，董事会
boast   v.夸口，以...而自豪
bonus   n.红利
boost   v.抬高，促进
booth   n.货摊，电话亭
bosom   n.胸，胸怀
bossy   adj.好发号施令的
bough   n.大树枝
bound   v.缚，以...为界
boxer   n.拳击运动员
brace   n.支撑；v.激励
brain   n.脑子，头脑，智能
brake   n.制动器；v.刹车
brake   n.v.刹车
brand   n.牌子，商标
brass   n.黄铜
brave   adj.勇敢的；v.冒着
bread   n.面包，生计
break   n.打破，破坏；n.裂口
breed   v.繁殖，饲养；n.品种
bribe   v.贿赂
brick   n.砖
bride   n.新娘
brief   adj.简短的
bring   v.拿来，带来
brink   n.边缘
brisk   adj.敏捷的，活跃的
broad   adj.宽的，辽阔的
brood   n.一窝
brook   n.小河，溪流
broom   n.扫帚
brown   n.,adj.褐色(的)
brush   n.刷子，画笔；v.刷
brute   n.禽兽，畜生
bugle   n.喇叭
build   v.建造，建设
bulky   adj.庞大的，笨重的
bumpy   adj.颠簸不平的
bunch   n.一束
burnt   adj.烧焦的，烧坏的
burst   v.,n.爆炸，破裂
buyer   n.购买者
cabin   n.小屋，船舱
cable   n.电缆，海底电报
camel   n.骆驼
canal   n.运河，渠道
candy   n.糖果
canoe   n.独木舟，游艇
canon   n.规范，准则
cargo   n.货物
carol   n.颂歌
carry   v.搬运，携带
carve   v.雕刻，切
catch   v.捕获，染病；n.捉
cater   v.提供
cause   n.原因，理由，事业
cease   v.停止，平息
chain   n.链条，一系列，锁链
chair   n.椅子
chalk   n.白垩，粉笔
chaos   n.混乱
charm   n.魅力；v.迷惑
chart   n.图表；v.制定计划
chase   v.追逐，驱除
cheap   adj.便宜的，可鄙的
cheat   v.欺骗，作弊；n.骗子
check   v.检验，核对；n.支票
cheek   n.颊，脸
cheer   n.喝彩；v.向...喝彩
chess   n.国际象棋
chest   n.胸膛，柜子
chick   n.小鸡
chief   adj.首席的，首要的
child   n.孩子，儿童
chill   n.寒意；v.冷却
china   n.中国
china   n.瓷器，陶瓷
choke   v.闷死，窒息，阻塞
cigar   n.雪茄
civil   adj.民用的，民事的
claim   v.要求，索赔，声称
clamp   n.夹子；v.夹紧
clash   v.,n.碰撞，冲突
clasp   n.扣子；v.紧握(抱)
class   n.阶级，种类，班级
clean   adj.清洁的，干的
clear   adj.清楚的，明确的
clerk   n.办事员，职员，店员
cliff   n.悬崖，峭壁
climb   v.爬，攀登，上升
cling   v.粘住，依附
cloak   n.外套，借口
clock   n.时钟
close   n.倒闭
close   v.关闭，结束；n.终结
cloth   n.织物，布，衣料
cloud   n.云
clown   n.小丑，丑角
coach   n.客车，教练
coast   n.海岸，海滨
color   n.颜色，色彩，气色
comic   adj.喜剧的，滑稽的
couch   n.躺椅
cough   v.,n.咳嗽
count   v.计算，数，认为
court   n.法庭，宫廷，球场
cover   v.盖，掩盖；n.盖子
crack   v.使...破裂；n.裂缝
